,Mevalonic Acid Lactone,5-Methylresorcinol,Pyridoxine,Pyrogallol,"Pyridine-2,3-Dicarboxylic Acid",Hydrocinnamic Acid,7-Alpha-Hydroxycholesterol,Citramalic Acid,N-Acetylisatin,2-Amino-2-Norbornanecarboxylic Acid,"2,3-Dimethylsuccinic Acid",3-Hydroxyphenylacetic Acid,20Alpha-Hydroxycholesterol,Trehalose-6-Phosphate,N-Cyclohexylformamide,Pentadecanoic Acid,4-Hydroxycyclohexanecarboxylic Acid,Coniferyl Alcohol,"3,7,12-Trihydroxycoprostane",3Beta-Hydroxy-5Beta-Pregnane-20-One,5-Methoxypsoralen,Benzoic Acid,Butyraldehyde,4-Hydroxybenzyl Cyanide,Catechol,Cycloleucine,Cuminic Alcohol,Salicylic Acid,Ciliatine,3-Methylcatechol,M-Cresol,Gentisic Acid,Ribulose-5-Phosphate,"Estra-1,3,5(10)-Triene-3,6Beta,17Beta-Triol",Arachidonic Acid,Octanal,Guaiacol,Dehydroshikimic Acid,Resorcinol,Phytol,Glutaconic Acid,Sinapyl Alcohol,4-Hydroxy-3-Methoxycinnamaldehyde,Methyl Jasmonate,Phosphoglycolic Acid,Corticosterone,Androsterone,Progesterone,Methyl Yellow,Toluenesulfonic Acid,Lipoic Acid,Prostaglandin,Asparagine,Methyl Trans-Cinnamate,Trans-2-Hydroxycinnamic Acid,Geraniol,Ethyl Cinnamate,Cis-Phytol,Methyl Palmitoleate,Quinic Acid,N-Methylanthranilic Acid,"1,4-Dihydroxy-2-Naphthoic Acid","5,6-Dimethylbenzimidazole",Fluorene,Xylitol,2-Hydroxybiphenyl,Biphenyl,"3,4-Dihydroxybenzoic Acid",Beta-Glutamic Acid,Urocanic Acid,Carvone,Benzylamine,Cyclohexylsulfamic Acid,N-Acetyl-Beta-Alanine,3-Methylthiopropylamine,2-Amino-3-Methyl-1-Butanol,"2-Butyne-1,4-Diol",Methyl Octanoate,Methyl Dodecanoate,Dodecanol,2'-Hydroxyacetophenone,Benzoin,"3,4-Dihydroxymandelic Acid",Thioctamide,Loganin,Acetanilide,Zymosterol,5-Alpha-Dihydroprogesterone,Naphthalene,Phenanthrene,4-Methylcatechol
Leopard_1,4.689,5.867,6.018,5.366,6.283,5.934,10.84,5.191,7.033,5.409,5.126,5.981,7.732,8.031,4.9,6.313,5.37,6.138,5.779,5.699,6.939,5.512,0,5.776,5.137,4.694,6.076,5.756,0.0,5.681,5.265,6.09,5.412,7.603,7.533,4.617,5.126,5.949,5.273,7.235,4.879,5.783,5.99,6.281,4.604,5.229,5.676,6.62,6.99,6.196,5.424,8.563,4.546,5.842,6.293,5.497,5.847,7.172,6.205,5.78,6.025,7.375,6.294,6.75,0.0,7.0,6.588,5.959,4.885,5.297,5.771,4.949,5.724,4.748,0,0.0,0,4.914,5.624,5.419,5.758,7.139,6.233,5.611,8.512,5.332,9.23,7.422,5.995,7.232,5.453
Leopard_10,5.373,5.751,4.716,5.605,6.322,6.438,0.0,5.366,5.752,5.845,5.324,6.311,0.0,0.0,5.661,0.0,5.464,5.51,0.0,0.0,0.0,5.662,0,6.494,5.193,5.583,5.727,5.84,0.0,5.651,5.534,5.856,4.957,0.0,4.588,5.142,5.284,5.958,5.295,0.0,5.161,0.0,5.579,4.737,5.086,0.0,0.0,0.0,0.0,6.066,5.165,0.0,5.249,5.275,5.678,5.448,5.0,0.0,4.994,5.541,5.941,5.563,6.071,6.294,4.791,6.889,6.833,6.168,5.542,5.21,6.509,5.34,6.171,4.775,0,0.0,0,5.336,0.0,5.089,6.24,6.404,6.255,4.983,0.0,6.143,0.0,0.0,6.378,6.443,5.909
Leopard_100,4.982,5.491,5.059,4.97,5.588,6.541,10.0,5.042,7.787,5.444,5.038,6.041,10.11,7.264,4.856,6.026,5.151,6.396,7.534,5.99,7.324,5.843,0,6.052,4.862,4.857,6.4,5.966,0.0,5.581,5.526,5.996,4.969,9.142,7.635,4.782,5.138,5.518,4.972,7.348,5.057,6.439,6.527,6.947,0.0,8.491,8.471,9.254,7.316,6.545,5.677,7.632,4.524,7.047,6.759,6.016,7.438,7.097,6.466,5.381,5.781,7.616,6.777,8.859,0.0,7.536,7.578,5.72,5.042,4.976,7.027,5.285,5.475,4.736,0,0.0,0,5.338,5.73,5.597,5.92,8.283,6.142,5.576,7.933,5.897,10.74,9.15,7.256,9.11,5.784
Leopard_101,0.0,4.569,5.063,4.87,5.339,5.455,8.315,4.564,6.059,4.936,0.0,5.175,8.495,6.771,0.0,5.32,4.906,5.125,8.873,4.7,6.189,4.732,0,4.958,0.0,0.0,5.256,4.9,0.0,4.728,4.533,5.067,0.0,7.887,6.027,0.0,0.0,5.26,0.0,5.519,4.563,5.664,5.159,5.481,0.0,7.99,8.474,8.426,6.604,5.208,4.916,6.58,4.609,5.462,5.61,5.119,5.606,5.582,4.885,5.147,5.071,6.476,5.287,6.56,0.0,6.124,6.016,5.346,0.0,4.762,5.431,0.0,5.342,0.0,0,0.0,0,0.0,4.756,4.522,4.828,6.285,5.22,4.71,7.599,4.98,10.01,8.301,5.644,6.827,4.808
Leopard_102,4.622,4.845,5.134,4.777,5.633,5.343,0.0,4.523,6.989,5.274,4.9,5.508,4.707,5.845,4.759,5.538,5.034,5.709,5.175,5.503,7.207,5.093,0,5.293,4.686,4.679,5.713,5.242,0.0,4.96,4.721,5.362,4.797,7.911,6.174,0.0,4.713,5.455,0.0,6.159,0.0,5.561,5.738,6.47,0.0,5.325,5.602,6.195,5.446,5.713,5.255,6.11,0.0,5.545,5.582,5.491,5.835,5.917,6.02,5.597,5.612,6.693,5.768,7.227,0.0,7.073,6.83,5.397,0.0,4.665,5.823,4.568,5.533,0.0,0,0.0,0,4.708,5.71,5.057,5.323,6.881,5.706,5.335,5.156,5.092,5.243,6.749,5.761,7.835,5.018
Leopard_103,4.616,4.648,4.792,4.571,5.096,5.309,8.041,0.0,6.367,5.135,4.665,5.298,8.835,6.457,0.0,5.181,4.806,5.552,8.043,4.714,7.018,4.763,0,5.163,0.0,0.0,5.149,5.117,0.0,4.941,0.0,5.224,4.648,8.236,6.201,0.0,0.0,5.23,0.0,6.107,4.609,5.722,5.69,5.838,0.0,8.444,8.087,8.799,6.059,5.655,4.632,7.132,0.0,5.405,5.446,5.008,5.751,5.531,4.964,5.252,5.171,6.626,5.365,6.702,0.0,6.439,6.197,5.174,0.0,4.694,5.427,0.0,4.982,0.0,0,0.0,0,4.584,4.986,0.0,4.825,6.684,5.502,4.714,6.805,4.848,8.771,8.81,5.266,7.092,4.758
Leopard_104,4.656,5.243,5.372,5.242,5.33,5.562,7.618,4.513,7.004,5.264,4.803,5.668,7.25,6.273,4.834,5.59,4.769,5.882,7.258,4.821,6.758,5.254,0,5.309,4.908,0.0,5.651,5.484,0.0,5.376,5.077,5.789,5.378,8.272,7.286,0.0,5.08,5.741,5.026,6.5,4.528,5.663,5.907,5.963,0.0,7.714,8.269,8.237,6.714,5.722,4.891,7.481,0.0,6.055,6.264,5.383,6.162,6.184,5.472,5.707,5.357,6.576,5.804,6.827,0.0,7.346,6.953,5.646,0.0,5.107,5.792,4.658,5.276,4.858,0,0.0,0,0.0,4.834,0.0,5.761,7.645,5.652,5.11,7.259,5.359,7.704,8.242,5.376,7.137,5.354
Leopard_105,4.501,4.856,0.0,0.0,4.65,5.433,7.78,0.0,6.335,4.671,0.0,5.567,8.16,5.84,0.0,4.687,4.581,5.282,7.363,4.822,6.823,4.924,0,5.397,4.508,0.0,5.243,4.901,0.0,4.933,4.97,4.952,0.0,6.88,5.378,0.0,4.709,5.011,0.0,5.762,0.0,5.097,5.552,5.801,0.0,7.349,7.493,7.744,6.339,5.276,4.503,6.309,0.0,5.405,5.47,4.892,5.53,5.739,5.228,4.646,4.96,6.245,5.522,6.866,0.0,5.924,5.895,5.092,0.0,0.0,5.341,4.659,4.642,0.0,0,0.0,0,0.0,4.752,0.0,5.086,6.338,5.529,4.675,6.804,4.722,8.364,7.63,5.901,7.278,4.952
Leopard_106,4.93,5.606,5.291,5.02,5.522,6.319,5.636,4.9,7.456,6.184,4.822,5.859,5.076,8.82,5.351,6.302,5.321,5.949,7.477,6.198,7.668,5.63,0,5.605,4.832,4.888,6.687,5.777,0.0,5.088,5.348,5.568,5.233,9.299,7.701,4.617,4.893,5.866,4.786,7.57,4.685,5.991,5.942,6.841,0.0,8.711,9.542,8.544,6.131,6.289,5.48,8.151,4.588,6.489,6.429,5.692,6.747,7.034,6.556,5.811,5.913,7.379,6.438,7.982,0.0,7.843,7.818,5.564,0.0,4.985,6.612,5.334,6.061,0.0,0,0.0,0,5.059,5.89,5.465,5.649,8.576,5.909,5.623,8.675,5.916,6.004,9.111,6.355,8.464,5.71
Leopard_107,4.775,4.713,4.905,4.796,5.573,5.899,9.507,0.0,6.714,5.571,4.75,5.598,8.919,6.796,4.892,5.095,5.027,5.979,9.696,5.452,6.898,5.585,0,5.475,4.747,4.645,5.877,5.583,0.0,5.018,4.957,5.492,5.186,8.461,6.296,4.58,4.862,5.375,0.0,6.532,4.508,6.007,6.072,6.144,0.0,8.743,8.846,9.201,6.867,5.68,5.338,7.266,0.0,6.18,6.134,5.312,6.404,6.377,5.644,5.79,5.668,6.621,5.852,7.502,0.0,7.05,7.104,5.634,0.0,4.932,5.858,4.888,5.542,0.0,0,0.0,0,4.933,5.077,5.227,5.504,7.304,5.933,5.308,7.534,5.625,10.26,9.075,6.109,8.046,5.489
Leopard_108,5.52,5.678,6.009,5.524,6.388,6.288,0.0,5.346,7.735,6.332,5.55,6.238,0.0,5.435,5.326,6.377,5.89,6.011,0.0,5.832,7.903,5.674,0,5.897,5.347,5.425,6.095,5.948,0.0,5.799,5.338,5.992,5.863,5.246,5.563,4.728,5.378,6.638,5.266,5.183,5.125,5.341,6.071,7.424,4.779,0.0,7.595,0.0,0.0,6.325,5.809,0.0,4.828,6.727,6.692,6.131,6.316,5.541,5.861,6.792,6.067,8.184,6.594,7.693,5.012,7.375,7.022,6.315,5.389,5.388,6.327,5.093,6.219,4.882,0,0.0,0,5.213,5.947,5.489,5.974,7.724,7.099,6.058,0.0,5.776,0.0,0.0,6.708,8.465,5.882
Leopard_109,5.6,4.889,4.918,6.008,5.31,6.29,0.0,5.304,4.851,6.516,5.839,6.491,0.0,0.0,5.863,6.547,6.141,5.852,0.0,5.841,0.0,6.106,0,5.882,5.572,5.514,6.062,6.48,0.0,6.107,5.556,5.943,5.623,0.0,0.0,5.376,6.082,5.524,5.691,0.0,5.225,0.0,5.797,6.748,4.766,0.0,0.0,0.0,6.195,5.976,5.418,0.0,4.942,6.442,7.013,6.138,6.253,0.0,4.775,5.768,5.595,5.403,5.757,7.305,4.992,7.59,7.505,5.988,5.545,5.61,6.167,5.366,5.655,5.2,0,4.585,0,5.815,6.372,6.079,6.428,7.052,6.038,6.893,0.0,6.247,0.0,0.0,5.947,6.07,5.353
Leopard_11,4.84,5.033,5.094,5.052,5.341,6.044,7.318,4.648,7.219,5.733,4.956,5.569,6.164,5.583,4.526,5.799,5.201,5.871,6.26,5.191,6.519,5.549,0,5.367,4.735,5.154,5.664,5.818,0.0,5.049,4.927,5.481,4.787,5.616,6.876,0.0,4.729,5.749,4.524,5.809,4.743,5.27,5.959,6.413,0.0,5.551,5.848,5.605,5.653,5.464,5.068,6.36,0.0,6.359,5.755,5.108,6.194,5.795,5.894,5.783,5.961,5.965,6.027,7.409,0.0,6.921,6.946,5.741,4.814,5.019,5.847,4.934,5.228,4.669,0,0.0,0,4.788,5.35,5.241,5.464,6.77,6.122,5.053,5.272,5.593,6.126,6.963,6.359,7.916,5.005
Leopard_110,5.165,5.628,5.88,5.157,5.893,6.254,8.076,5.183,7.796,5.812,5.474,6.588,7.674,8.251,5.069,6.696,5.549,5.953,7.97,5.832,7.721,5.724,0,5.829,5.14,5.081,6.565,5.81,0.0,5.566,5.434,5.986,5.435,6.791,7.974,4.863,5.418,5.695,5.284,8.118,5.074,5.772,5.933,6.991,0.0,6.903,9.145,6.968,6.749,6.338,5.603,7.163,4.717,6.226,6.432,6.001,6.491,8.047,7.238,5.773,5.919,7.514,6.492,8.057,0.0,7.747,7.123,5.701,4.857,5.223,6.541,5.046,5.902,4.685,0,0.0,0,5.176,6.009,5.59,5.98,8.224,6.648,5.615,6.727,5.845,8.061,6.734,6.528,8.708,5.541
